Year,Series,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2019,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.4
2018,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.4
2010,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.6
2014,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.4
2013,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.4
2016,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.4
2017,EU_COV_DIA,,,,PD,,,Leioa,PLAZA,Leioa,0.4
2017,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2016,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2019,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2014,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2010,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2015,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2011,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2018,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2013,EU_COV_DIA,,,,PD,,,Lekeitio,PLAZA,Lekeitio,0.0
2014,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2015,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2013,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2011,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2016,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2019,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2018,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2010,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2017,EU_COV_DIA,,,,PD,,,Lemoa,PLAZA,Lemoa,0.0
2017,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2011,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2010,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2014,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2015,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2016,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2019,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2013,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2018,EU_COV_DIA,,,,PD,,,Lemoiz,PLAZA,Lemoiz,0.0
2016,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2015,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2013,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2014,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2017,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2019,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2011,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2018,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2010,EU_COV_DIA,,,,PD,,,Leza,PLAZA,Leza,0.0
2017,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2011,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2015,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2014,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2016,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2019,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2010,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2013,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2018,EU_COV_DIA,,,,PD,,,Lezama,PLAZA,Lezama,0.0
2010,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2018,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2013,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2015,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2014,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2017,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2016,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2011,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2019,EU_COV_DIA,,,,PD,,,Lezo,PLAZA,Lezo,0.0
2018,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2010,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2017,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2016,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2014,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2013,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2019,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
2015,EU_COV_DIA,,,,PD,,,Lizartza,PLAZA,Lizartza,0.0
