Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2015,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,38.62
2016,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,49.47
2017,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,49.64
2018,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,83.75
2019,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,82.92
2020,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,110.99
2021,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,272.59
2022,Fotovoltaica,Watts per cápita,,,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,350.77
2010,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,129.08
2011,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,129.77
2012,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,135.2
2013,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,137.66
2014,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,143.88
2015,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,144.81
2016,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,143.88
2017,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,144.0
2018,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,143.08
2019,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,179.43
2020,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,182.48
2021,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,195.37
2022,Fotovoltaica,Watts per cápita,,,Zeanuri,Zeanuri,230.46
2010,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,19.08
2011,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,18.89
2012,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,19.7
2013,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,24.39
2014,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,28.28
2015,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,24.32
2016,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,24.6
2017,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,24.69
2018,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,24.41
2019,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,23.99
2020,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,61.22
2021,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,61.57
2022,Fotovoltaica,Watts per cápita,,,Zeberio,Zeberio,86.43
2010,Fotovoltaica,Watts per cápita,,,Dima,Dima,81.18
2011,Fotovoltaica,Watts per cápita,,,Dima,Dima,80.94
2012,Fotovoltaica,Watts per cápita,,,Dima,Dima,81.25
2013,Fotovoltaica,Watts per cápita,,,Dima,Dima,80.51
2014,Fotovoltaica,Watts per cápita,,,Dima,Dima,77.08
2015,Fotovoltaica,Watts per cápita,,,Dima,Dima,78.14
2016,Fotovoltaica,Watts per cápita,,,Dima,Dima,78.73
2017,Fotovoltaica,Watts per cápita,,,Dima,Dima,79.06
2018,Fotovoltaica,Watts per cápita,,,Dima,Dima,79.66
2019,Fotovoltaica,Watts per cápita,,,Dima,Dima,79.28
2020,Fotovoltaica,Watts per cápita,,,Dima,Dima,90.11
2021,Fotovoltaica,Watts per cápita,,,Dima,Dima,243.84
2022,Fotovoltaica,Watts per cápita,,,Dima,Dima,295.93
2010,Fotovoltaica,Watts per cápita,,,Durango,Durango,14.34
2011,Fotovoltaica,Watts per cápita,,,Durango,Durango,14.17
2012,Fotovoltaica,Watts per cápita,,,Durango,Durango,14.01
2013,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.99
2014,Fotovoltaica,Watts per cápita,,,Durango,Durango,14.08
2015,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.91
2016,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.96
2017,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.86
2018,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.79
2019,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.64
2020,Fotovoltaica,Watts per cápita,,,Durango,Durango,13.55
2021,Fotovoltaica,Watts per cápita,,,Durango,Durango,46.79
2022,Fotovoltaica,Watts per cápita,,,Durango,Durango,47.77
2010,Fotovoltaica,Watts per cápita,,,Ea,Ea,11.26
2011,Fotovoltaica,Watts per cápita,,,Ea,Ea,11.39
2012,Fotovoltaica,Watts per cápita,,,Ea,Ea,12.78
2013,Fotovoltaica,Watts per cápita,,,Ea,Ea,12.78
2014,Fotovoltaica,Watts per cápita,,,Ea,Ea,23.53
2015,Fotovoltaica,Watts per cápita,,,Ea,Ea,23.53
2016,Fotovoltaica,Watts per cápita,,,Ea,Ea,23.67
2017,Fotovoltaica,Watts per cápita,,,Ea,Ea,23.47
2018,Fotovoltaica,Watts per cápita,,,Ea,Ea,23.58
2019,Fotovoltaica,Watts per cápita,,,Ea,Ea,23.92
2020,Fotovoltaica,Watts per cápita,,,Ea,Ea,49.82
2010,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2011,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2012,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2013,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2014,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2015,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2016,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,0.0
2017,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,8.11
2018,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,7.94
2019,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,7.85
2020,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,7.8
2021,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,11.14
2022,Fotovoltaica,Watts per cápita,,,Etxebarri,Etxebarri,10.96
2010,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,93.06
2011,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,95.07
2012,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,98.67
2013,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,100.33
2014,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,102.83
2015,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,102.72
2016,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,109.81
2017,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,110.35
2018,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,113.1
2019,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,143.73
2020,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,154.08
2021,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,249.92
2022,Fotovoltaica,Watts per cápita,,Durangaldea / Duranguesado,,Durangaldea / Duranguesado,279.47
2010,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,310.39
2011,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,312.5
2012,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,308.53
2013,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,314.92
2014,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,319.44
2015,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,322.95
2016,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,330.58
2017,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,349.66
2018,Fotovoltaica,Watts per cápita,,,Etxebarria,Etxebarria,342.21
2010,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2011,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2012,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2013,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2014,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2015,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2016,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2017,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2018,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2019,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,0.0
2020,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,80.92
2021,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,79.77
2022,Fotovoltaica,Watts per cápita,,,Elantxobe,Elantxobe,79.1
2010,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,62.02
2011,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,63.09
2012,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,102.49
2013,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,105.44
2014,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,105.47
2015,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,105.17
2016,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,109.53
2017,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,109.22
2018,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,108.59
2019,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,124.87
2020,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,124.46
2021,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,294.33
2022,Fotovoltaica,Watts per cápita,,,Elorrio,Elorrio,300.87
2010,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,146.52
2011,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,187.97
2012,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,208.66
2013,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,210.32
2014,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,232.56
2015,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,214.56
2016,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,217.05
2017,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,217.9
2018,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,212.12
2019,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,202.9
2020,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,281.02
2021,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,435.25
2022,Fotovoltaica,Watts per cápita,,,Ereño,Ereño,421.6
2010,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,15.38
2011,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,15.36
2012,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,15.46
2013,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,15.61
2014,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,15.59
2015,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,15.7
2016,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,19.35
2017,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,19.33
2018,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,23.13
2019,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,25.84
2020,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,32.9
2021,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,42.04
2022,Fotovoltaica,Watts per cápita,,,Ermua,Ermua,42.03
2010,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2011,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2012,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2013,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2014,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2015,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2016,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2017,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2018,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,0.0
2019,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,107.33
2020,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,138.69
2021,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,248.18
2022,Fotovoltaica,Watts per cápita,,,Fruiz,Fruiz,246.38
2010,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,68.57
2011,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,68.5
2012,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,92.08
2013,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,91.6
2014,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,93.57
2015,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,93.72
2016,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,93.55
2017,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,93.42
2018,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,93.33
2019,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,93.01
2020,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,94.29
2021,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,126.58
2022,Fotovoltaica,Watts per cápita,,,Galdakao,Galdakao,130.34
2010,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,104.77
2011,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,140.68
2012,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,148.86
2013,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,150.49
2014,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,146.16
2015,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,151.4
2016,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,149.94
2017,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,149.22
2018,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,148.33
2019,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,204.98
2020,Fotovoltaica,Watts per cápita,,,Galdames,Galdames,205.95
2010,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,195.34
2011,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,193.02
2012,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,195.39
2013,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,211.94
2014,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,208.18
2015,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,207.91
2016,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,207.0
2017,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,207.0
2018,Fotovoltaica,Watts per cápita,,,Gamiz-Fika,Gamiz-Fika,224.16
2010,Fotovoltaica,Watts per cápita,,,Garai,Garai,0.0
2011,Fotovoltaica,Watts per cápita,,,Garai,Garai,0.0
2012,Fotovoltaica,Watts per cápita,,,Garai,Garai,0.0
2013,Fotovoltaica,Watts per cápita,,,Garai,Garai,69.84
2014,Fotovoltaica,Watts per cápita,,,Garai,Garai,64.31
2015,Fotovoltaica,Watts per cápita,,,Garai,Garai,71.2
2016,Fotovoltaica,Watts per cápita,,,Garai,Garai,117.83
2017,Fotovoltaica,Watts per cápita,,,Garai,Garai,116.72
2018,Fotovoltaica,Watts per cápita,,,Garai,Garai,114.2
2019,Fotovoltaica,Watts per cápita,,,Garai,Garai,114.55
2020,Fotovoltaica,Watts per cápita,,,Garai,Garai,115.99
2021,Fotovoltaica,Watts per cápita,,,Garai,Garai,448.92
2022,Fotovoltaica,Watts per cápita,,,Garai,Garai,450.31
2010,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,36.87
2011,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,38.6
2012,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,38.22
2013,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,38.33
2014,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,39.57
2015,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,39.71
2016,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,41.05
2017,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,41.19
2018,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,45.13
2019,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,53.09
2020,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,68.2
2021,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,192.48
2022,Fotovoltaica,Watts per cápita,,Enkartazioak / Encartaciones,,Enkartazioak / Encartaciones,206.21
2010,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,158.83
2011,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,154.61
2012,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,153.75
2013,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,153.37
2014,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,150.88
2015,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,149.22
2016,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,148.15
2017,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,149.31
2018,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,223.91
2019,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,223.77
2020,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,309.35
2021,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,481.39
2022,Fotovoltaica,Watts per cápita,,,Gatika,Gatika,486.74
2010,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,0.0
2011,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,0.0
2012,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,2.23
2013,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,2.29
2014,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,0.0
2015,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,2.36
2016,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,2.36
2017,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,2.33
2018,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,2.34
2019,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,68.48
2020,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,123.85
2021,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,156.11
2022,Fotovoltaica,Watts per cápita,,,Gautegiz Arteaga,Gautegiz Arteaga,276.92
2010,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,113.38
2011,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,114.88
2012,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,116.9
2013,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,117.72
2014,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,116.89
2015,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,118.68
2016,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,123.76
2017,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,124.63
2018,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,122.97
2019,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,141.61
2020,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,153.94
2021,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,402.0
2022,Fotovoltaica,Watts per cápita,,,Gordexola,Gordexola,409.44
2010,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,20.01
2011,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,19.91
2012,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,20.53
2013,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,20.3
2014,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,21.21
2015,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,22.1
2016,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,21.91
2017,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,21.91
2018,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,26.09
2019,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,25.61
2020,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,28.39
2021,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,64.93
2022,Fotovoltaica,Watts per cápita,,,Gorliz,Gorliz,80.85
2010,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,6.88
2011,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,6.89
2012,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,6.99
2013,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,7.04
2014,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,7.81
2015,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,7.9
2016,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,7.89
2017,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,7.92
2018,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,8.39
2019,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,8.41
2020,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,10.25
2021,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,13.13
2022,Fotovoltaica,Watts per cápita,,,Getxo,Getxo,13.16
2010,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,21.91
2011,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,21.65
2012,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,21.57
2013,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,21.57
2014,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,26.03
2015,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,25.73
2016,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,26.0
2017,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,26.07
2018,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,25.9
2019,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,53.02
2020,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,60.04
2021,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,92.4
2022,Fotovoltaica,Watts per cápita,,,Güeñes,Güeñes,96.23
2010,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,58.48
2011,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,57.28
2012,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,71.3
2013,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,71.7
2014,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,71.55
2015,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,71.41
2016,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,71.38
2017,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,71.14
2018,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,70.85
2019,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,73.42
2020,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,113.99
2021,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,124.56
2022,Fotovoltaica,Watts per cápita,,,Gernika-Lumo,Gernika-Lumo,144.71
2010,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2011,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2012,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2013,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2014,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2015,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2016,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2017,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2018,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2019,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2020,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2021,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2022,Fotovoltaica,Watts per cápita,,,Gizaburuaga,Gizaburuaga,0.0
2010,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,31.3
2011,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,31.25
2012,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,39.49
2013,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,108.15
2014,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,109.38
2015,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,107.48
2016,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,108.32
2017,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,109.7
2018,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,110.4
2019,Fotovoltaica,Watts per cápita,,,Ibarrangelu,Ibarrangelu,111.11
