Year,Fuente de energía renovable,Units,Territorio,Comarca,Municipio,GeoCode,Value
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Lagrán,Lagrán,0.0
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,0.0
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,0.0
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.17
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.39
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,0.0
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.26
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.01
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.48
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.22
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,8.85
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.22
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.26
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Leza,Leza,9.05
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,167.69
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,169.38
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,169.05
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,169.61
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,170.85
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,171.69
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,170.82
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,171.25
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,172.2
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,172.15
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,178.98
2021,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,192.23
2022,Todas las fuentes de energía renovable,Watts per cápita,,,Laudio/Llodio,Laudio/Llodio,192.18
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,477.18
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,468.11
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,614.23
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,632.39
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,680.48
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,677.02
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,749.99
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,755.24
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Arraia-Maeztu,Arraia-Maeztu,841.53
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,369.72
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,375.0
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,386.87
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,391.15
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,406.79
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,135.14
2011,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,128.76
2012,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,109.76
2013,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,115.88
2014,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,119.52
2015,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,108.43
2016,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,112.03
2017,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,129.19
2018,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,131.07
2019,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,135.0
2020,Todas las fuentes de energía renovable,Watts per cápita,,,Navaridas,Navaridas,121.62
2010,Todas las fuentes de energía renovable,Watts per cápita,,,Okondo,Okondo,199.13
